0.455 0.454 0.451 0.446 0.451 0.447 0.444 0.475 0.478 0.454 0.448 0.450 0.446 0.451 0.474 0.481 0.449 0.476 0.444 0.449 0.467 0.455 0.456 0.535 0.448 0.455 0.449 0.451 0.481 0.450 0.449 0.453 0.444 0.449 0.454 0.449
0.837 0.784 0.863 0.774 0.776 0.784 0.824 0.830 0.778 0.778 0.781 0.865 0.936 0.816 0.853 0.844 0.818 0.835 0.836 0.784 0.787 0.777 0.839 0.790 0.780 0.788 0.781 0.801 0.790 0.849 0.871 0.794 1.022 0.805 0.779 0.838
1.656 1.489 1.547 1.477 1.491 1.634 1.629 1.578 1.566 1.504 1.491 1.483 1.509 1.618 1.632 1.497 1.518 1.479 1.652 1.547 1.671 1.615 1.485 1.483 1.479 1.627 1.660 1.486 1.487 1.581 1.609 1.644 1.543 1.684 1.620 1.492
3.099 2.882 2.874 2.989 2.880 3.068 3.083 2.853 3.018 3.127 2.930 2.903 3.049 3.172 2.963 2.929 2.970 2.951 2.861 2.872 2.874 3.033 3.107 2.918 2.868 2.990 2.949 2.977 2.905 2.919 2.882 2.881 3.117 2.875 3.055 3.160
