0.441 0.434 0.438 0.445 0.437 0.433 0.442 0.439 0.440 0.651 0.434 0.430 0.435 0.438 0.432 0.432 0.458 0.436 0.439 0.432 0.445 0.444 0.447 0.431 0.444 0.439 0.434 0.436 0.452 0.456 0.437 0.430 0.453 0.437 0.448 0.437
0.761 0.752 0.698 0.761 0.767 0.744 0.728 0.725 0.763 0.704 0.697 0.716 0.700 0.750 0.760 0.747 0.740 0.761 0.694 0.723 0.713 0.697 0.729 0.699 0.705 0.756 0.701 0.704 0.742 0.718 0.698 0.788 0.699 0.700 0.701 0.711
1.421 1.321 1.374 1.400 1.338 1.293 1.381 1.288 1.262 1.514 1.363 1.374 1.292 1.396 1.369 1.266 1.260 1.406 1.288 1.370 1.414 1.419 1.360 1.272 1.277 1.471 1.281 1.293 1.421 1.480 1.276 1.429 1.267 1.271 1.390 1.378
2.705 2.666 2.784 2.793 2.547 2.783 2.785 2.659 2.647 2.599 2.640 2.656 2.549 2.800 2.669 2.775 2.640 2.787 2.626 2.644 2.862 2.791 2.549 2.842 2.839 2.780 2.557 2.589 2.698 2.537 2.698 2.563 2.574 2.708 2.878 2.709
